Symbol,%Change,Volume,Impl Vol,IV_Percentile,Last,Bid,Ask
MO,0.90%,"6,722,973",26.11%,11.91,47.21,47.22,47.42
PFE,2.24%,"48,804,134",24.23%,12.11,41.05,41.26,41.27
FUTU,3.06%,"1,704,749",78.90%,12.13,137.95,137.8,137.93
BILL,3.11%,"1,221,418",52.05%,12.24,194.41,188,199.95
IBM,1.49%,"13,611,675",21.64%,12.36,139.97,140.1,140.23
BBBY,7.04%,"5,561,303",74.02%,12.39,29.05,28.85,28.89
AVGO,0.63%,"2,072,779",26.45%,12.65,468.59,468.59,473
DOCU,4.07%,"4,394,300",40.88%,12.66,301.27,302.5,304
X,2.60%,"17,887,298",64.97%,12.77,22.06,22.15,22.18
COST,0.50%,"2,045,376",20.48%,12.98,416.24,416.25,416.99
JPM,1.86%,"15,385,158",25.96%,13.18,149.71,150.01,150.14
M,4.66%,"14,103,310",69.29%,13.27,16.86,16.9,16.99
ZM,0.45%,"4,061,077",41.11%,13.37,355.81,356.5,357.8
ADT,2.78%,"2,585,672",50.50%,13.43,10.34,9.74,10.45
BMY,0.54%,"8,710,290",21.26%,13.51,66.72,66.53,67.5
SWBI,0.37%,"1,600,866",60.04%,13.97,24.7,24.82,25.25
C,1.86%,"20,577,855",31.09%,14.02,66.29,66.35,66.55
ZI,4.25%,"1,430,313",54.92%,14.19,52.5,52.5,52.99
ORBC,0.09%,"835,001",31.07%,14.25,11.17,10.58,11.38
HUYA,-1.46%,"2,757,973",61.36%,14.3,14.2,14.23,14.45
WGO,7.66%,"917,707",42.63%,14.34,68.59,68.02,69
UAL,6.58%,"21,894,036",49.08%,14.52,46.32,46.02,46.1
GDX,0.33%,"17,990,750",30.62%,14.82,33.3,33.23,33.29
ZS,2.74%,"1,747,138",38.35%,14.88,229.11,229.5,233
VIAC,1.30%,"12,779,036",49.40%,15.1,40.39,40.4,40.5
CCL,7.45%,"68,222,433",50.31%,15.17,21.19,21.41,21.51
MS,3.32%,"11,522,283",30.71%,15.3,92.32,92.4,93
WKHS,0.80%,"5,990,310",107.91%,15.4,11.31,11.33,11.4
BLK,3.99%,"899,812",23.74%,15.54,878.84,835,885.01
LTHM,6.86%,"2,293,569",69.68%,15.55,18.39,18.22,18.88
FOUR,4.16%,"704,948",58.02%,15.8,91.68,85.5,88
FSLY,0.57%,"2,218,490",76.86%,16.06,51.5,51.72,51.98
KC,-2.74%,"1,286,223",60.70%,16.22,28.72,28.65,29
BIDU,0.82%,"3,568,498",43.59%,16.35,177.89,178.11,178.36
VEEV,1.97%,"837,296",27.95%,16.73,323.96,323.96,328.33
CAKE,6.73%,"1,735,371",51.81%,16.76,50.12,50,51
MAR,3.19%,"2,227,328",38.18%,16.99,135.03,134.75,136.06
KSS,3.89%,"2,805,865",54.83%,17.24,49.65,49.56,49.85
AMT,0.75%,"1,502,643",22.65%,17.29,283,280,287.58
NKE,1.18%,"4,629,228",25.53%,17.34,159.74,159.74,160
MSFT,0.83%,"26,259,741",24.73%,17.43,279.32,277.54,281.52
MCD,2.19%,"3,275,605",21.52%,17.63,234.27,235.11,236
PLD,0.95%,"2,453,122",22.90%,17.64,127.99,125.72,159.94
OSTK,1.34%,"1,224,988",84.71%,18.36,82.5,82.2,83.04
TRV,-0.11%,"2,367,725",23.99%,18.47,151.09,150.11,170
RIOT,-0.42%,"6,995,492",121.83%,18.68,25.85,26.5,26.66
SRNE,1.83%,"5,640,754",100.44%,18.75,8.33,8.36,8.37
NVAX,-1.58%,"9,840,848",93.47%,18.77,207.19,205,205.5
KNDI,3.31%,"887,103",90.15%,19.05,5.62,5.5,5.66
PVH,6.40%,"1,145,704",45.70%,19.12,99.8,92,106
GS,2.83%,"2,937,859",29.32%,19.18,364.76,365.08,366.5
LYFT,2.38%,"5,018,860",55.94%,19.19,52.95,53.1,53.39
JMIA,2.46%,"3,658,235",102.44%,19.2,23.33,23.5,23.6
CNK,4.37%,"6,095,831",73.03%,19.25,15.76,15.9,15.94
DKNG,2.60%,"8,024,799",63.10%,19.39,45.82,45.84,46
BAC,2.06%,"59,462,867",30.46%,19.58,37.69,37.8,37.82
SPG,7.20%,"3,821,756",37.79%,19.72,125.63,125.63,125.99
H,2.92%,"863,772",37.15%,19.8,74.12,74.09,78.75
WORK,0.09%,"67,122,961",27.61%,19.96,45.2,45.25,45.63
KO,0.18%,"16,257,890",20.42%,20.28,55.83,56.15,56.4
V,0.95%,"7,072,288",25.23%,20.42,242.7,242.83,243.31
SPR,7.33%,"3,846,520",57.84%,20.53,41.88,42,43
TRIP,3.76%,"3,231,338",61.53%,20.53,35.56,35.65,35.75
KWEB,0.10%,"9,107,650",36.78%,20.57,60.62,60.71,61.2
NEM,-0.41%,"5,804,263",30.66%,20.65,60.44,60.37,60.83
JD,-0.47%,"6,612,382",39.19%,20.79,73.87,74.1,74.17
CLVS,2.99%,"2,827,480",87.63%,20.9,5.17,5.16,5.18
MRNA,-2.00%,"123,115,470",73.26%,20.96,307.33,303.02,303.99
ADS,4.06%,"639,922",55.26%,20.96,97.55,95.5,102.49
MGM,4.80%,"6,011,310",49.32%,21.36,38.39,38.4,38.57
RCL,7.74%,"7,762,898",57.52%,21.68,74.89,74.95,75.29
AAL,8.38%,"46,295,449",57.10%,21.89,20.56,20.57,20.58
TRMB,2.52%,"940,251",35.47%,21.9,80.69,78.24,83
FCX,1.70%,"20,933,332",49.42%,22.04,32.95,32.96,33.09
SIRI,3.00%,"18,169,471",35.81%,22.18,6.53,6.53,6.55
VSAT,3.09%,"524,328",50.01%,22.18,49.67,46.76,53.95
IQ,0.65%,"3,708,995",73.15%,22.31,12.37,12.36,12.4
COF,2.84%,"3,306,164",38.17%,22.31,157.98,157.5,159.5
AMC,24.47%,"168,673,390",214.84%,22.63,43.09,43.43,43.45
SFIX,3.47%,"902,865",65.51%,22.63,56.66,56.65,58
SQ,5.47%,"8,851,602",49.11%,22.8,246.47,247.02,247.45
OXY,2.22%,"17,071,011",61.91%,22.85,25.37,25.3,25.35
JKS,3.65%,"1,207,803",80.26%,22.98,56.19,55.6,56.5
BKR,1.98%,"9,298,238",43.82%,23.49,20.04,20.42,20.88
PYPL,1.09%,"5,424,096",35.87%,23.56,298.07,298.15,299.24
JNJ,0.94%,"9,902,815",18.88%,23.91,168.45,169.02,170
FDS,0.82%,"253,964",23.17%,23.94,339.93,300.02,394.84
LMND,2.79%,"1,119,696",80.87%,23.95,86.59,86.88,87.7
INO,-3.81%,"5,809,021",97.70%,24.04,8.59,8.52,8.53
EQIX,-0.20%,"409,363",25.88%,24.1,832.65,729.03,850
DDOG,2.57%,"1,392,258",55.42%,24.22,107.52,107.75,108.89
TDOC,2.29%,"2,982,699",51.74%,24.25,154.83,155.42,156.5
MA,2.45%,"3,542,605",28.63%,24.26,374.39,374.71,375
LMT,2.14%,"1,268,431",23.09%,24.39,379.98,380,380.49
BIIB,-0.52%,"1,384,677",44.58%,24.42,322.49,321.5,323.5
IWM,3.10%,"40,794,553",27.22%,24.53,218.3,218.01,218.38
WMT,0.45%,"6,340,100",23.77%,24.7,141.87,142,142.03
BBY,1.96%,"1,784,226",29.01%,24.71,110.61,110.75,111.25
DT,3.72%,"1,474,343",45.91%,24.79,60.47,60.51,62
GE,5.83%,"75,122,907",41.17%,24.9,12.7,12.71,12.72
TME,1.40%,"10,740,328",60.41%,24.97,11.55,11.53,11.7
FISV,2.04%,"4,586,920",28.41%,24.97,108.84,108.9,109.99
CCI,0.62%,"1,173,179",22.56%,25.13,203.28,203.1,205
ADM,1.01%,"2,322,045",25.43%,25.2,58.03,58.1,58.75
CVNA,4.60%,"1,760,848",58.83%,25.2,325.34,325.34,328
HYLN,1.29%,"2,080,524",100.76%,25.23,9.41,9.41,9.54
BRK/B,1.55%,"4,738,502",21.60%,25.33,276.89,277.01,278.95
SO,0.25%,"4,566,514",20.87%,25.33,62.95,62.75,63.26
CRM,1.08%,"8,486,974",27.02%,25.42,240.11,240.2,240.53
VALE,1.31%,"20,235,468",43.14%,25.45,21.63,21.63,21.85
GILD,1.36%,"9,332,631",27.14%,25.81,69.16,68.54,69.32
LUV,6.04%,"12,772,819",40.94%,25.87,51.43,51.66,51.75
RUN,6.65%,"7,002,648",78.56%,25.93,50.51,50.51,50.95
UBER,1.67%,"13,851,368",48.48%,25.94,46.32,46.76,46.95
BABA,0.80%,"9,986,819",36.41%,26.29,210.59,211.02,211.59
CSCO,0.98%,"17,250,163",27.23%,26.42,53.58,53.53,53.74
DLR,0.44%,"958,580",23.78%,26.42,157,149.92,170
HON,4.08%,"28,237,085",25.80%,26.55,229.66,228,228.49
AAPL,2.60%,"96,350,036",32.69%,26.69,146.15,146.3,146.34
REGN,0.34%,"644,953",30.94%,26.69,587.24,588,588.2
TPR,4.23%,"3,028,104",49.54%,26.94,39.41,37.8,39.63
PDD,-2.33%,"7,033,533",56.82%,27.06,102.25,102.13,102.49
DIS,2.20%,"8,372,402",30.98%,27.17,176.75,176.8,177.35
SE,2.49%,"1,946,925",52.39%,27.22,279.64,280.5,282.45
CVE,0.65%,"9,102,021",60.07%,27.37,7.79,7.7,8.4
PCG,2.28%,"17,799,424",43.05%,27.46,9.42,9.42,9.68
WM,1.07%,"1,669,465",21.13%,27.75,145.17,145.17,148
BL,1.48%,"299,063",46.38%,27.79,113.15,113.16,116
AVB,2.50%,"604,239",26.34%,28.27,228.74,220,230
JNK,0.43%,"10,189,542",7.58%,28.36,109.29,108.98,109.49
VZ,-0.47%,"20,258,935",19.29%,28.38,55.58,55.77,55.82
FND,5.47%,"1,239,461",46.28%,28.48,109.64,100,111
SHOP,3.58%,"1,286,298",48.24%,28.6,1524.78,1527,1533
CAT,2.40%,"3,934,667",32.95%,28.67,207.96,208.07,208.4
CME,1.14%,"1,128,525",25.13%,28.69,208.58,204.46,209.98
F,4.74%,"70,731,783",51.29%,28.81,13.91,14.02,14.03
THO,6.51%,"734,441",40.20%,29.19,112.58,112.48,112.9
NET,2.05%,"2,616,962",56.84%,29.25,107.68,108.1,108.5
AMD,0.61%,"28,088,956",42.61%,29.26,87.11,87.24,87.29
IVR,5.42%,"6,820,929",61.46%,29.31,3.5,3.49,3.52
WB,0.46%,"544,705",55.04%,29.43,60.67,60.7,60.83
HD,2.03%,"4,251,678",25.94%,29.52,325.35,325.49,326.25
CRNC,-0.58%,"381,408",59.86%,29.55,107.59,107.6,109.8
VIRT,0.23%,"1,079,541",39.46%,29.7,25.95,25.51,26.2
GOOG,1.43%,"954,156",27.94%,29.71,2622.03,2624,2630
SDY,1.52%,"2,006,998",18.07%,29.86,121.82,121.9,123.7
DQ,2.70%,"1,736,483",88.98%,30.11,66.08,64.58,66.08
IIPR,2.71%,"266,269",43.09%,30.16,207.99,203.78,210
CGC,2.78%,"2,289,556",67.25%,30.24,19.95,20.01,20.06
CMG,1.50%,"431,047",30.23%,30.32,1574.35,1642,1643
GRPN,7.17%,"609,452",89.68%,30.62,38.99,38,40.8
NOC,1.40%,"911,352",25.15%,30.95,359.97,359.97,367.75
DE,3.91%,"2,054,029",33.14%,31.05,348.03,348.03,352.5
AXP,3.72%,"4,243,662",31.56%,31.21,168.87,169.5,169.99
AMAT,2.60%,"7,417,625",40.71%,31.23,131.97,132.03,132.32
OTIS,2.43%,"1,839,214",31.05%,31.24,86.1,78,88.88
FSLR,-0.45%,"2,225,234",49.75%,31.35,82.68,82.69,84.2
SNAP,4.62%,"16,588,678",67.93%,31.62,62.33,62.6,62.65
IEF,-0.13%,"8,728,991",8.21%,31.75,117.81,117.6,118.08
ATVI,1.34%,"6,626,968",37.09%,31.77,91.51,91.5,91.8
T,0.43%,"34,763,185",24.36%,32.15,27.91,27.94,27.96
LULU,2.75%,"1,638,132",32.26%,32.32,383.3,383.32,384
KHC,0.15%,"4,285,831",30.21%,32.39,39.4,39.42,39.93
NFLX,-0.23%,"6,930,440",38.00%,32.63,531.05,534,534.25
WIMI,6.44%,"932,624",100.79%,32.86,4.63,4.6,4.62
UNP,0.53%,"3,066,453",26.63%,32.99,215.48,213.02,220.4
QCOM,0.55%,"6,020,445",35.67%,33.11,139.55,139.75,139.94
ETSY,2.39%,"2,118,512",58.67%,33.32,194.87,195.02,195.98
DOW,1.44%,"6,771,667",35.26%,33.41,58.62,58.65,58.9
ADP,0.72%,"2,097,186",24.41%,33.48,203.14,203.11,206
BKNG,3.04%,"313,985",36.64%,33.64,2130.43,2130.43,2150
ASML,0.01%,"805,554",34.65%,33.89,684.05,685.2,694
HIMX,-3.74%,"3,812,761",72.10%,33.92,13.38,13.4,13.44
HAS,2.40%,"653,972",33.72%,34.07,94,92.3,95.38
RDFN,5.70%,"1,160,788",62.77%,34.13,58.22,58.1,58.3
MTSI,3.59%,"277,537",66.80%,34.31,58.85,58.5,61.4
CVX,0.59%,"12,114,567",34.94%,34.33,96.53,96.47,96.53
APD,1.36%,"1,065,562",26.12%,34.63,285.95,285.05,300
LRCX,2.63%,"1,555,887",41.05%,34.65,607.09,605,609.99
CHAU,1.38%,"26,563",47.33%,34.76,42.01,41.5,42.21
SPOT,1.94%,"902,176",50.25%,34.93,246.5,246.1,247.9
FVRR,3.83%,"474,088",71.63%,35.18,225.96,228,229.63
DD,1.24%,"4,789,434",32.53%,35.21,73.71,73.71,73.9
OCGN,-1.33%,"23,837,711",117.80%,35.87,7.42,7.42,7.43
SDC,1.45%,"4,430,580",85.64%,35.96,6.98,7.25,7.28
ORCL,1.93%,"12,813,858",27.44%,35.99,88.66,88.9,88.97
MXIM,1.46%,"1,262,521",36.29%,36.12,97.52,97.52,98.14
LAZR,1.96%,"3,827,224",71.12%,36.27,18.25,18.25,18.5
MAXR,3.77%,"1,740,570",83.54%,36.39,31.94,32.19,32.22
W,2.92%,"1,139,063",66.17%,36.43,297.77,297.77,300
BYND,4.05%,"2,479,108",66.01%,36.55,130.6,130.85,131.29
SPCE,-1.14%,"43,650,170",116.58%,36.81,32.03,31.6,31.7
MRVL,3.21%,"7,876,075",40.62%,36.93,56.56,56.61,56.87
FB,1.40%,"11,024,277",35.50%,37.17,341.66,342.15,342.5
GILT,3.60%,"355,674",77.41%,37.29,9.49,9.23,9.65
SBUX,1.82%,"5,118,174",29.60%,37.32,117.42,117.46,117.6
VLDR,-2.77%,"5,561,005",101.51%,37.4,8.43,8.45,8.5
BNTX,1.04%,"6,604,938",75.76%,37.94,245.17,240,244
LC,4.63%,"1,061,783",68.64%,38.05,15.83,14.55,16
DXCM,2.91%,"788,627",45.26%,38.4,447.7,427.93,455
ISRG,2.45%,"910,877",31.28%,38.61,955.05,982.5,984
SMCI,-0.29%,"248,283",42.70%,38.73,34.83,32.45,36.35
ROKU,2.33%,"2,766,721",61.59%,38.84,417.2,413,415.9
WBA,1.05%,"6,194,283",29.69%,38.92,46.06,46.1,46.49
XOM,1.10%,"26,756,115",39.58%,39.68,55.96,55.9,55.95
RAIL,10.69%,"1,325,540",140.48%,39.77,5.49,5.45,5.5
GLW,1.98%,"4,322,243",32.29%,39.9,40.11,39.39,40.98
ALGN,3.38%,"663,936",46.03%,39.98,615.71,610.81,620.7
TWLO,2.94%,"1,426,243",55.60%,40.47,390.22,390.22,392
DVA,1.35%,"603,955",34.83%,40.56,119.41,90,120.9
DPZ,-0.74%,"593,024",32.35%,40.65,474.97,474.97,490
NNVC,-6.52%,"236,361",109.97%,40.74,4.16,4.1,4.49
MMM,1.65%,"2,783,406",27.03%,40.83,200.82,200.83,203.5
IMO,1.14%,"315,592",50.96%,41.34,26.54,25.4,30.5
NBRV,0.00%,"415,132",<empty>,41.44,1.1,1.09,1.11
D,-0.25%,"3,701,240",18.96%,41.69,75.67,75.6,76.15
LOW,1.05%,"2,882,733",32.60%,41.8,194.11,194.12,194.5
HYG,0.51%,"26,941,301",8.61%,41.94,87.52,87.52,87.6
Z,3.07%,"4,379,439",62.28%,42,107.99,107.38,108.44
ENPH,4.12%,"1,943,212",80.26%,42.03,172.09,170,173
CVS,1.40%,"6,382,501",28.57%,43.23,81.8,81.9,82.28
ZEN,2.67%,"1,063,635",44.27%,43.38,138.64,138.65,143
NUGT,0.22%,"2,265,598",72.57%,43.44,55.42,55.2,55.59
UPS,0.50%,"2,257,385",34.06%,43.75,212.46,212.5,213.75
UWMC,-1.70%,"3,228,032",70.97%,43.83,7.5,7.54,7.58
GP,7.92%,"121,018",87.34%,43.99,16.76,16.75,17.91
PII,5.29%,"702,886",41.53%,44.1,134.88,130,135.9
GOOS,3.90%,"412,401",58.27%,44.2,40.75,38,42.52
GOTU,-0.10%,"6,256,593",130.55%,44.31,10.07,9.9,9.99
BHP,2.06%,"1,756,508",34.01%,44.65,73.83,74,74.5
PINS,0.10%,"7,224,823",69.32%,44.72,71.43,71.5,71.87
XLNX,1.37%,"1,227,329",43.41%,44.92,131.1,131.25,132.99
LQD,-0.14%,"24,764,832",9.01%,44.92,135.75,135.19,136
NOW,1.83%,"870,645",39.28%,45.69,565.25,565.25,568.88
AMZN,0.66%,"3,255,680",33.69%,46.23,3573.19,3575.05,3578
VXX,-8.42%,"35,415,506",108.28%,46.34,31.97,31.68,31.72
FSR,5.15%,"4,412,663",84.44%,46.41,15.94,15.8,15.89
TGT,1.43%,"2,805,169",32.20%,46.71,254.71,255,255.4
EH,4.36%,"1,041,666",83.96%,46.83,29.68,29.8,29.92
DM,1.65%,"3,994,064",94.37%,46.84,9.22,9.25,9.3
DOYU,1.80%,"6,275,822",97.85%,47.66,4.53,4.5,4.54
NUE,1.64%,"2,471,176",42.95%,47.99,91.52,91.52,91.8
NNDM,2.81%,"7,968,062",120.32%,48.43,6.59,6.61,6.63
DADA,-2.45%,"937,975",63.10%,48.91,24.67,24,25
CHEF,4.48%,"361,018",68.34%,49.11,27.74,25.68,28.25
KXIN,-0.51%,"247,392",<empty>,49.57,1.94,1.91,1.94
NVDA,-0.89%,"43,468,654",49.43%,49.62,186.12,186.6,186.7
NIU,2.98%,"554,222",72.13%,50.24,28.35,28.35,28.79
TTWO,0.63%,"861,594",39.94%,50.55,170.02,168,171.2
FUBO,2.12%,"4,375,635",102.48%,50.58,26.51,26.53,26.62
OPEN,2.89%,"8,704,065",82.63%,50.96,14.6,14.61,14.65
RIDE,3.37%,"2,566,716",123.59%,51.01,8.59,8.54,8.66
EQ,1.25%,"70,393",<empty>,51.11,5.69,5.45,5.85
APT,-16.13%,"5,192,769",105.59%,51.42,8.32,8.24,8.34
MSCI,1.21%,"232,804",33.80%,51.69,563.57,459.1,649.76
TWTR,2.91%,"11,583,922",65.98%,51.92,67.94,68,68.07
LORL,5.37%,"93,220",67.03%,52.89,34.91,32.5,39
TTD,2.90%,"4,596,619",65.17%,53.88,73,73.02,73.46
AYX,5.12%,"1,218,976",63.92%,54.24,79.89,79.9,81
RVLV,3.28%,"695,929",85.12%,54.65,66.5,64.01,69.93
FLGT,-2.40%,"821,350",84.18%,55.24,81.77,81.11,82.25
HTBX,2.07%,"219,073",130.69%,55.37,6.4,6.28,6.49
NEGG,12.31%,"5,106,284",185.96%,57.71,28.93,28.3,28.67
FATE,4.32%,"756,813",81.71%,58.51,84.05,81.26,84.42
MP,2.79%,"1,629,052",78.05%,59.13,33.53,33.53,33.75
API,-0.87%,"975,721",78.52%,59.28,34.26,33.51,34.6
TTEC,1.55%,"116,175",52.02%,60.05,101.39,97,106.2
AZN,1.88%,"65,540,182",41.36%,60.87,57.54,57.94,58.19
SWKS,1.21%,"1,243,204",46.70%,61.86,189.42,189.6,190.93
WCLD,2.55%,"260,894",27.07%,62.53,56.37,56.3,57.04
INTC,1.10%,"19,866,965",38.88%,66.79,55.24,55.39,55.41
WLTW,1.67%,"546,551",32.19%,67.15,219.7,200,265
WDC,2.62%,"3,562,237",59.60%,69.86,64.64,64.78,65
SAM,-1.58%,"240,916",54.67%,78.4,936.43,924,940.36
NRBO,40.78%,"125,784,266",255.31%,86.89,3.97,3.59,3.63
TMUS,-0.15%,"7,189,695",49.00%,100,144.4,144.1,145.11
ME,-1.99%,"2,974,501",88.62%,NaN,9.36,9.37,9.38
DIDI,1.36%,"21,612,112",88.95%,NaN,11.21,11.19,11.22
CCIV,9.37%,"12,194,521",117.00%,NaN,24.28,24.27,24.34
AFRM,2.77%,"2,311,925",69.36%,NaN,57.41,57.9,58.1
CEI,3.43%,"9,773,715",<empty>,NaN,0.4949,0.4925,0.495
U,1.96%,"1,390,847",57.58%,NaN,100.16,100,100.44
TCTZF,0.28%,"21,913",<empty>,NaN,70.17,69.6,70.5
DUO,7.30%,"132,379",<empty>,NaN,2.5,2.45,2.52
EADSY,3.79%,"197,328",<empty>,NaN,31.51,31.44,31.58
DCUE,0.00%,"6,365",<empty>,NaN,99.93,97,107
LI,0.62%,"5,350,276",73.60%,NaN,30.73,30.66,30.78
BEKE,2.34%,"3,244,743",72.96%,NaN,38,37,38.79
RKT,-0.35%,"8,300,420",66.11%,NaN,17.27,17.3,17.35
XPEV,2.62%,"8,123,508",71.73%,NaN,40.76,40.9,41.05
PLNHF,5.06%,"315,326",<empty>,NaN,6.02,5.55,6.13
SNOW,1.58%,"1,659,740",46.31%,NaN,256.27,256.75,257
FROG,1.81%,"498,254",65.64%,NaN,45.66,45.66,45.78
PLTR,2.97%,"22,954,034",60.49%,NaN,22.18,22.11,22.15
LU,0.92%,"6,703,168",77.00%,NaN,8.81,8.82,8.95
QS,2.34%,"4,662,033",89.97%,NaN,23.57,23.65,23.7
ABNB,3.19%,"6,274,608",50.69%,NaN,136.09,136.31,136.65
AI,3.79%,"1,952,376",63.76%,NaN,53.15,53.1,53.25
BIGC,7.00%,"1,002,360",81.84%,NaN,66.36,65.2,66.69
RAAS,2.86%,"459,680",120.76%,NaN,5.75,5.7,5.8
MOGU,-2.27%,"82,228",<empty>,NaN,1.29,1.21,1.31
RBLX,0.78%,"4,816,113",69.50%,NaN,79.86,80,80.14
ROOT,2.39%,"3,925,976",109.82%,NaN,8.15,8.13,8.2
COIN,1.97%,"3,104,775",65.36%,NaN,224.96,223.85,224.7
COUR,3.33%,"617,463",77.07%,NaN,39.41,38.2,39.99
WISH,7.42%,"44,581,594",110.86%,NaN,10.14,10.11,10.12
