Ticker,Sector,Sub-sector
PEG,Utilities,Electric Utilities
PSA,Real Estate,Specialized REITs
PHM,Consumer Discretionary,Homebuilding
PVH,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
QRVO,Information Technology,Semiconductors
PWR,Industrials,Construction & Engineering
QCOM,Information Technology,Semiconductors
DGX,Health Care,Health Care Services
RL,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
RJF,Financials,Investment Banking & Brokerage
RTX,Industrials,Aerospace & Defense
O,Real Estate,Retail REITs
REG,Real Estate,Retail REITs
REGN,Health Care,Biotechnology
RF,Financials,Regional Banks
RSG,Industrials,Environmental & Facilities Services
RMD,Health Care,Health Care Equipment
RHI,Industrials,Human Resource & Employment Services
ROK,Industrials,Electrical Components & Equipment
ROL,Industrials,Environmental & Facilities Services
ROP,Industrials,Industrial Conglomerates
ROST,Consumer Discretionary,Apparel Retail
RCL,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
SPGI,Financials,Financial Exchanges & Data
CRM,Information Technology,Application Software
SBAC,Real Estate,Specialized REITs
SLB,Energy,Oil & Gas Equipment & Services
STX,Information Technology,"Technology Hardware, Storage & Peripherals"
SEE,Materials,Paper Packaging
SRE,Utilities,Multi-Utilities
NOW,Information Technology,Systems Software
SHW,Materials,Specialty Chemicals
SPG,Real Estate,Retail REITs
SWKS,Information Technology,Semiconductors
SLG,Real Estate,Office REITs
SNA,Industrials,Industrial Machinery
SO,Utilities,Electric Utilities
LUV,Industrials,Airlines
SWK,Industrials,Industrial Machinery
SBUX,Consumer Discretionary,Restaurants
STT,Financials,Asset Management & Custody Banks
STE,Health Care,Health Care Equipment
SYK,Health Care,Health Care Equipment
SIVB,Financials,Regional Banks
SYF,Financials,Consumer Finance
SNPS,Information Technology,Application Software
SYY,Consumer Staples,Food Distributors
TMUS,Communication Services,Wireless Telecommunication Services
TROW,Financials,Asset Management & Custody Banks
TTWO,Communication Services,Interactive Home Entertainment
TPR,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
TGT,Consumer Discretionary,General Merchandise Stores
TEL,Information Technology,Electronic Manufacturing Services
FTI,Energy,Oil & Gas Equipment & Services
TDY,Industrials,Aerospace & Defense
TFX,Health Care,Health Care Equipment
TER,Information Technology,Semiconductor Equipment
TXN,Information Technology,Semiconductors
TXT,Industrials,Aerospace & Defense
TMO,Health Care,Life Sciences Tools & Services
TIF,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
TJX,Consumer Discretionary,Apparel Retail
TSCO,Consumer Discretionary,Specialty Stores
TT,Industrials,Building Products
TDG,Industrials,Aerospace & Defense
TRV,Financials,Property & Casualty Insurance
TFC,Financials,Regional Banks
TWTR,Communication Services,Interactive Media & Services
TYL,Information Technology,Application Software
TSN,Consumer Staples,Packaged Foods & Meats
UDR,Real Estate,Residential REITs
ULTA,Consumer Discretionary,Specialty Stores
USB,Financials,Diversified Banks
UAA,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
UA,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
UNP,Industrials,Railroads
UAL,Industrials,Airlines
UNH,Health Care,Managed Health Care
UPS,Industrials,Air Freight & Logistics
URI,Industrials,Trading Companies & Distributors
UHS,Health Care,Health Care Facilities
UNM,Financials,Life & Health Insurance
VFC,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
VLO,Energy,Oil & Gas Refining & Marketing
VAR,Health Care,Health Care Equipment
VTR,Real Estate,Health Care REITs
VRSN,Information Technology,Internet Services & Infrastructure
VRSK,Industrials,Research & Consulting Services
VZ,Communication Services,Integrated Telecommunication Services
VRTX,Health Care,Biotechnology
VIAC,Communication Services,Movies & Entertainment
V,Information Technology,Data Processing & Outsourced Services
VNT,Information Technology,Electronic Equipment & Instruments
VNO,Real Estate,Office REITs
VMC,Materials,Construction Materials
WRB,Financials,Property & Casualty Insurance
WAB,Industrials,Construction Machinery & Heavy Trucks
WMT,Consumer Staples,Hypermarkets & Super Centers
WBA,Consumer Staples,Drug Retail
DIS,Communication Services,Movies & Entertainment
WM,Industrials,Environmental & Facilities Services
WAT,Health Care,Health Care Distributors
WEC,Utilities,Electric Utilities
WFC,Financials,Diversified Banks
WELL,Real Estate,Health Care REITs
WST,Health Care,Health Care Supplies
WDC,Information Technology,"Technology Hardware, Storage & Peripherals"
WU,Information Technology,Data Processing & Outsourced Services
WRK,Materials,Paper Packaging
WY,Real Estate,Specialized REITs
WHR,Consumer Discretionary,Household Appliances
WMB,Energy,Oil & Gas Storage & Transportation
WLTW,Financials,Insurance Brokers
WYNN,Consumer Discretionary,Casinos & Gaming
XEL,Utilities,Multi-Utilities
XRX,Information Technology,"Technology Hardware, Storage & Peripherals"
XLNX,Information Technology,Semiconductors
XYL,Industrials,Industrial Machinery
YUM,Consumer Discretionary,Restaurants
ZBRA,Information Technology,Electronic Equipment & Instruments
ZBH,Health Care,Health Care Equipment
ZION,Financials,Regional Banks
ZTS,Health Care,Pharmaceuticals
